date,recession_prob,reprise_prob,boom_prob,ralentissement_prob,cycle_phase,markov_prob,kalman_prob,blended_prob
1970-03-31,0.9611676622718628,0.0272005634401944,0.0047858575217869,0.0068459167661558,recession_prob,0.9645906206549408,0.4877371539843526,1.0
1970-04-30,0.9611676622718628,0.0272005634401944,0.0047858575217869,0.0068459167661558,recession_prob,0.9645906206549408,0.4242938643602366,1.0
1970-05-31,0.9611676622718628,0.0272005634401944,0.0047858575217869,0.0068459167661558,recession_prob,0.9645906206549408,0.3959062228570502,1.0
1970-06-30,0.9312221969678924,0.0331958463073512,0.0140087955529789,0.0215731611717772,recession_prob,0.9420087775537812,0.4119087069627574,1.0
1970-07-31,0.9312221969678924,0.0331958463073512,0.0140087955529789,0.0215731611717772,recession_prob,0.9420087775537812,0.4257621110427208,1.0
1970-08-31,0.9312221969678924,0.0331958463073512,0.0140087955529789,0.0215731611717772,recession_prob,0.9420087775537812,0.4053486066195925,1.0
1970-09-30,0.8599016775703708,0.0349687583737186,0.0476844119215887,0.0574451521343217,recession_prob,0.8886242536375317,0.3727593533778864,1.0
1970-10-31,0.8599016775703708,0.0349687583737186,0.0476844119215887,0.0574451521343217,recession_prob,0.8886242536375317,0.3153282737889391,0.9395142136446017
1970-11-30,0.8599016775703708,0.0349687583737186,0.0476844119215887,0.0574451521343217,recession_prob,0.8886242536375317,0.2793436736975696,0.8931435852094158
1970-12-31,0.76569478309101,1.508284352976593e-06,0.2184927720152825,0.0158109366093546,recession_prob,0.7736002513956873,0.3172958883465375,0.8365386851677267
1971-01-31,0.76569478309101,1.508284352976593e-06,0.2184927720152825,0.0158109366093546,recession_prob,0.7736002513956873,0.3460437777389162,0.8702772153857177
1971-02-28,0.76569478309101,1.508284352976593e-06,0.2184927720152825,0.0158109366093546,recession_prob,0.7736002513956873,0.4028037854085903,0.9368907746560684
